orth11046: Bcur|XP_011197057.1 Bdor|XP_011203026.1 Bole|XP_014088718.1 Ccap|XP_004536939.1
orth11047: Bcur|XP_011197058.1 Bdor|XP_011203035.1 Bole|XP_014088681.1 Ccap|XP_004536944.1
orth11044: Bcur|XP_011197051.1 Bdor|XP_011203024.1 Bole|XP_014088717.1 Ccap|XP_004536937.1
orth11045: Bcur|XP_011197056.1 Bdor|XP_011203028.1 Bole|XP_014088750.1 Ccap|XP_004536940.1
orth11042: Bcur|XP_011197049.1 Bdor|XP_011203021.1 Bole|XP_014088721.1 Ccap|XP_004536934.1
orth11043: Bcur|XP_011197050.1 Bdor|XP_011203022.1 Bole|XP_014088720.1 Ccap|XP_004536938.1
orth11040: Bcur|XP_011197047.1 Bdor|XP_011203020.1 Bole|XP_014088719.1 Ccap|XP_004536936.1
orth11041: Bcur|XP_011197048.1 Bdor|XP_011208068.1 Bole|XP_014089323.1 Ccap|XP_004522309.1
orth11048: Bcur|XP_011197059.1 Bdor|XP_011203032.1 Bole|XP_014088682.1 Ccap|XP_004536942.1
orth11049: Bcur|XP_011197061.1 Bdor|XP_011208067.1 Bole|XP_014089313.1 Ccap|XP_004522307.1
orth3839: Bcur|XP_011180492.1 Bdor|XP_011201123.1 Bole|XP_014100676.1 Ccap|XP_004529892.1
orth3838: Bcur|XP_011180491.1 Bdor|XP_011201124.1 Bole|XP_014100675.1 Ccap|XP_004529889.1
orth7848: Bcur|XP_011189521.1 Bdor|XP_011208340.1 Bole|XP_014099321.1 Ccap|XP_012158330.1
orth7849: Bcur|XP_011189524.1 Bdor|XP_011208384.1 Bole|XP_014096220.1 Ccap|XP_004523027.1
orth3833: Bcur|XP_011180483.1 Bdor|XP_011203411.1 Bole|XP_014093897.1 Ccap|XP_004529900.1
orth3832: Bcur|XP_011180480.1 Bdor|XP_011203448.1 Bole|XP_014099934.1 Ccap|XP_004529902.1
orth3831: Bcur|XP_011180479.1 Bdor|XP_011203412.1 Bole|XP_014099933.1 Ccap|XP_004529903.1
orth3830: Bcur|XP_011180478.1 Bdor|XP_011203449.1 Bole|XP_014099932.1 Ccap|XP_004529906.1
orth3837: Bcur|XP_011180490.1 Bdor|XP_011201122.1 Bole|XP_014100678.1 Ccap|XP_004529893.1
orth3836: Bcur|XP_011180486.1 Bdor|XP_011203406.1 Bole|XP_014093899.1 Ccap|XP_012158941.1
orth3835: Bcur|XP_011180485.1 Bdor|XP_011203407.1 Bole|XP_014093894.1 Ccap|XP_004529898.1
orth3834: Bcur|XP_011180484.1 Bdor|XP_011203408.1 Bole|XP_014093896.1 Ccap|XP_004529899.1
orth8119: Bcur|XP_011190071.1 Bdor|XP_011213257.1 Bole|XP_014090897.1 Ccap|XP_012162286.1
orth8118: Bcur|XP_011190067.1 Bdor|XP_011214324.1 Bole|XP_014095429.1 Ccap|XP_012160280.1
orth8115: Bcur|XP_011190062.1 Bdor|XP_011197835.1 Bole|XP_014089335.1 Ccap|XP_012159633.1
orth8114: Bcur|XP_011190061.1 Bdor|XP_011199532.1 Bole|XP_014089337.1 Ccap|XP_004531191.1
orth8117: Bcur|XP_011190066.1 Bdor|XP_011214323.1 Bole|XP_014095430.1 Ccap|XP_012160281.1
orth8111: Bcur|XP_011190057.1 Bdor|XP_011199531.1 Bole|XP_014089333.1 Ccap|XP_004531190.1
orth8110: Bcur|XP_011190056.1 Bdor|XP_011199530.1 Bole|XP_014089329.1 Ccap|XP_004531187.1
orth8113: Bcur|XP_011190060.1 Bdor|XP_011213258.1 Bole|XP_014090895.1 Ccap|XP_004537683.1
orth8112: Bcur|XP_011190058.1 Bdor|XP_011199536.1 Bole|XP_014089338.1 Ccap|XP_012159631.1
orth4465: Bcur|XP_011181850.1 Bdor|XP_011208632.1 Bole|XP_014092486.1 Ccap|XP_004521162.1
orth4464: Bcur|XP_011181849.1 Bdor|XP_011208624.1 Bole|XP_014093851.1 Ccap|XP_004521155.1
orth4467: Bcur|XP_011181852.1 Bdor|XP_011208627.1 Bole|XP_014092503.1 Ccap|XP_004521314.1
orth4466: Bcur|XP_011181851.1 Bdor|XP_011208629.1 Bole|XP_014092483.1 Ccap|XP_004521160.1
orth4461: Bcur|XP_011181844.1 Bdor|XP_011208617.1 Bole|XP_014093841.1 Ccap|XP_004521149.1
orth4460: Bcur|XP_011181843.1 Bdor|XP_011208616.1 Bole|XP_014093845.1 Ccap|XP_004521312.1
orth4463: Bcur|XP_011181847.1 Bdor|XP_011208625.1 Bole|XP_014093848.1 Ccap|XP_004521156.1
orth4462: Bcur|XP_011181846.1 Bdor|XP_011208619.1 Bole|XP_014093838.1 Ccap|XP_004521152.1
orth4469: Bcur|XP_011181856.1 Bdor|XP_011208633.1 Bole|XP_014092505.1 Ccap|XP_004521163.1
orth4468: Bcur|XP_011181854.1 Bdor|XP_011208628.1 Bole|XP_014092502.1 Ccap|XP_012155041.1
orth5738: Bcur|XP_011184861.1 Bdor|XP_011199161.1 Bole|XP_014096914.1 Ccap|XP_004529350.1
orth5739: Bcur|XP_011184863.1 Bdor|XP_011199156.1 Bole|XP_014097347.1 Ccap|XP_012158587.1
