orth2333: Afra|m.10026 Aobl|m.12854 Asus|M.10026_R0 Bcor|m.49852 Bcur|XP_011176775.1 Bdor|XP_011207020.1 Bjar|m.26921 Blat|m.41225 Bmin|m.16652 Bole|XP_014097011.1 Btry|M.41225_R0 Bzon|m.21935 Ccap|XP_004523616.1
orth2334: Afra|m.10105 Aobl|m.12162 Asus|M.10104_R0 Bcor|m.20328 Bcur|XP_011189361.1 Bdor|XP_011202495.1 Bjar|m.4341 Blat|m.39156 Bmin|m.5536 Bole|XP_014100885.1 Btry|M.39156_R0 Bzon|m.47619 Ccap|XP_004521443.1
orth2335: Afra|m.10131 Aobl|m.7135 Asus|M.10131_R0 Bcor|m.509 Bcur|XP_011191044.1 Bdor|XP_011202275.1 Bjar|m.10381 Blat|m.18775 Bmin|m.8724 Bole|XP_014102377.1 Btry|M.18775_R0 Bzon|m.34590 Ccap|XP_004518888.1
orth2336: Afra|m.10158 Aobl|m.18941 Asus|M.10158_R0 Bcor|m.15405 Bcur|XP_011189189.1 Bdor|XP_011197737.1 Bjar|m.13808 Blat|m.37538 Bmin|m.5323 Bole|XP_014103742.1 Btry|M.37536_R0 Bzon|m.54128 Ccap|XP_012157486.1
orth2337: Afra|m.10206 Aobl|m.11827 Asus|M.10206_R0 Bcor|m.19611 Bcur|XP_011187768.1 Bdor|XP_011200557.1 Bjar|m.8239 Blat|m.3359 Bmin|m.11172 Bole|XP_014096423.1 Btry|M.3359_R0 Bzon|m.54447 Ccap|XP_004535309.1
orth2342: Afra|m.1065 Aobl|m.9179 Asus|M.1065_R0 Bcor|m.1454 Bcur|XP_011181575.1 Bdor|XP_011205507.1 Bjar|m.405 Blat|m.62575 Bmin|m.796 Bole|XP_014086106.1 Btry|M.62575_R0 Bzon|m.25152 Ccap|XP_004533520.1
orth2344: Afra|m.10884 Aobl|m.17109 Asus|M.10883_R0 Bcor|m.37646 Bcur|XP_011180869.1 Bdor|XP_011206480.1 Bjar|m.29460 Blat|m.55155 Bmin|m.3099 Bole|XP_014102122.1 Btry|M.55155_R0 Bzon|m.3621 Ccap|XP_004517787.1
orth2345: Afra|m.10901 Aobl|m.17937 Asus|M.10901_R0 Bcor|m.49077 Bcur|XP_011179896.1 Bdor|XP_011198494.1 Bjar|m.12034 Blat|m.59900 Bmin|m.6676 Bole|XP_014097978.1 Btry|M.59900_R0 Bzon|m.31266 Ccap|XP_004535103.1
orth2347: Afra|m.11001 Aobl|m.13121 Asus|M.11001_R0 Bcor|m.4765 Bcur|XP_011177253.1 Bdor|XP_011208541.1 Bjar|m.21101 Blat|m.4586 Bmin|m.10350 Bole|XP_014087055.1 Btry|M.4586_R0 Bzon|m.42969 Ccap|XP_004529688.1
orth2350: Afra|m.11066 Aobl|m.17591 Asus|M.11066_R0 Bcor|m.17233 Bcur|XP_011184450.1 Bdor|XP_011206024.1 Bjar|m.5223 Blat|m.6614 Bmin|m.23763 Bole|XP_014091925.1 Btry|M.6614_R0 Bzon|m.48226 Ccap|XP_004534671.1
orth2351: Afra|m.11133 Aobl|m.18886 Asus|M.11133_R0 Bcor|m.25753 Bcur|XP_011177469.1 Bdor|XP_011207070.1 Bjar|m.5212 Blat|m.775 Bmin|m.9387 Bole|XP_014085587.1 Btry|M.775_R0 Bzon|m.13384 Ccap|XP_004529429.1
orth2360: Afra|m.11294 Aobl|m.22372 Asus|M.11294_R0 Bcor|m.22412 Bcur|XP_011195799.1 Bdor|XP_011208914.1 Bjar|m.25800 Blat|m.41206 Bmin|m.18846 Bole|XP_014091772.1 Btry|M.41206_R0 Bzon|m.19488 Ccap|XP_004519005.1
orth2364: Afra|m.11451 Aobl|m.8291 Asus|M.11451_R0 Bcor|m.15489 Bcur|XP_011183944.1 Bdor|XP_011203731.1 Bjar|m.9030 Blat|m.27680 Bmin|m.2340 Bole|XP_014089552.1 Btry|M.27680_R0 Bzon|m.25127 Ccap|XP_004537345.1
orth2369: Afra|m.11761 Aobl|m.6311 Asus|M.11761_R0 Bcor|m.975 Bcur|XP_011190056.1 Bdor|XP_011199530.1 Bjar|m.4428 Blat|m.42114 Bmin|m.5417 Bole|XP_014089329.1 Btry|M.42114_R0 Bzon|m.42026 Ccap|XP_004531187.1
orth2371: Afra|m.11846 Aobl|m.6055 Asus|M.11846_R0 Bcor|m.12387 Bcur|XP_011196731.1 Bdor|XP_011209911.1 Bjar|m.21423 Blat|m.25637 Bmin|m.1073 Bole|XP_014103787.1 Btry|M.25637_R0 Bzon|m.25581 Ccap|XP_012161336.1
orth2373: Afra|m.1189 Aobl|m.7501 Asus|M.1189_R0 Bcor|m.36379 Bcur|XP_011184987.1 Bdor|XP_011206712.1 Bjar|m.7934 Blat|m.60775 Bmin|m.8099 Bole|XP_014098091.1 Btry|M.60775_R0 Bzon|m.33057 Ccap|XP_004529319.1
orth2374: Afra|m.11910 Aobl|m.27515 Asus|M.11910_R0 Bcor|m.3628 Bcur|XP_011195901.1 Bdor|XP_011204732.1 Bjar|m.25816 Blat|m.40905 Bmin|m.21733 Bole|XP_014086320.1 Btry|M.40905_R0 Bzon|m.38319 Ccap|XP_012155694.1
