amplicon_ID	loci_ID	amp_start	amp_end	ampInsert_start	ampInsert_end	amp_len	comment
SET3976_3049	orth4955_1027-1296	9	258	39	232	250	NoDegenerate
SET1560_252046	orth3516_2121-3096	372	605	394	583	234	NoDegenerate
SET4061_2820	orth5003_8684-8996	15	236	38	213	222	NoDegenerate
SET10422_95779	orth9368_146-542	155	373	181	346	219	NoDegenerate
SET9146_445206	orth8353_0-1374	641	858	663	833	218	NoDegenerate
SET3118_833	orth4430_390-631	11	227	35	205	217	NoDegenerate
SET8451_84840	orth7851_632-1080	153	360	174	336	208	NoDegenerate
SET6340_518983	orth6492_704-2486	687	889	709	862	203	NoDegenerate
SET1803_383	orth3646_493-721	7	206	34	183	200	NoDegenerate
SET971_40854	orth2879_716-1078	72	271	97	248	200	NoDegenerate
SET8356_12438	orth7647_0-260	34	221	57	195	188	NoDegenerate
SET6163_127	orth6396_1544-1743	9	187	34	157	179	NoDegenerate
SET9667_532	orth8728_2771-2989	6	184	35	154	179	NoDegenerate
SET9180_37242	orth8381_1155-1513	95	269	121	246	175	NoDegenerate
SET6630_65882	orth6659_1565-2023	115	288	136	260	174	NoDegenerate
SET1031_20617	orth2939_946-1220	54	224	75	202	171	NoDegenerate
SET1799_70174	orth3646_1135-1460	150	318	174	290	169	NoDegenerate
SET193_30850	orth10362_263-601	63	221	86	199	159	NoDegenerate
SET2252_7511	orth3915_1749-2005	29	184	53	157	156	NoDegenerate
SET9914_81	orth8880_1742-1911	9	160	34	135	152	NoDegenerate
SET6629_516	orth6659_1298-1515	9	154	35	131	146	NoDegenerate
SET5164_199687	orth5783_442-1246	263	404	289	376	142	NoDegenerate
SET8307_59	orth7614_53-293	4	145	34	123	142	NoDegenerate
SET10585_26417	orth9542_122-389	97	227	120	203	131	NoDegenerate
SET676_4923	orth2652_1938-2132	29	159	53	135	131	NoDegenerate
SET10820_26256	orth9802_1540-1813	78	207	102	183	130	NoDegenerate
SET7753_43	orth7304_1360-1494	4	130	34	100	127	NoDegenerate
SET7428_37828	orth7112_104-485	63	187	88	164	125	NoDegenerate
SET3411_2736	orth4630_1033-1232	24	174	46	147	151	NoDegenerate
SET3299_14982	orth4544_424-644	68	206	89	183	139	NoDegenerate
SET9916_32504	orth8880_626-927	118	253	138	225	136	NoDegenerate
SET10830_123030	orth9805_2050-2703	239	479	259	454	241	NoDegenerate
SET10709_13978	orth9694_903-1201	37	210	56	187	174	NoDegenerate
SET2101_4158	orth3814_815-1335	18	161	39	140	144	NoDegenerate
SET2493_1574	orth4058_483-646	13	148	43	128	136	NoDegenerate
SET9700_5799	orth8746_155-376	29	164	50	144	136	NoDegenerate
SET10081_4286	orth8990_463-727	22	155	42	131	134	NoDegenerate
SET9759_143728	orth8791_0-568	220	353	250	331	134	NoDegenerate
SET10715_33779	orth9697_344-605	129	261	155	228	133	NoDegenerate
SET6531_1166	orth6620_353-517	21	151	42	130	131	NoDegenerate
SET10443_5640	orth9395_77-307	26	151	48	123	126	NoDegenerate
SET4438_39735	orth5231_2897-3263	86	335	107	309	250	NoDegenerate
SET6750_15269	orth6738_968-1388	31	266	53	239	236	NoDegenerate
SET9830_115678	orth8826_1769-2187	184	400	205	380	217	NoDegenerate
SET3671_4154	orth4779_278-521	21	229	43	207	209	NoDegenerate
SET187_90989	orth10339_505-906	134	332	153	311	199	NoDegenerate
SET9663_12992	orth8725_1272-1534	40	230	63	207	191	NoDegenerate
SET1060_6745	orth2958_2517-2734	36	197	56	176	162	NoDegenerate
SET8747_565280	orth8080_9156-10614	844	1003	864	982	160	NoDegenerate
SET1687_1632	orth3571_0-999	14	167	36	147	154	NoDegenerate
SET7774_15086	orth7315_399-648	52	200	72	177	149	NoDegenerate
SET7120_5068	orth6935_1103-1323	27	160	50	129	134	NoDegenerate
SET218_5155	orth10395_1616-1808	33	165	58	139	133	NoDegenerate
SET10963_89318	orth9941_1692-2530	134	265	153	245	132	NoDegenerate
SET6354_74683	orth6512_1863-2264	146	276	165	257	131	NoDegenerate
SET4469_34173	orth5248_1218-1515	103	230	124	197	128	NoDegenerate
SET5160_2259229	orth5781_736-4705	3326	3573	3344	3555	248	NoDegenerate
SET7715_264519	orth7272_566-1484	399	626	418	606	228	NoDegenerate
SET5162_53699	orth5783_1296-1665	93	315	114	296	223	NoDegenerate
SET7412_92830	orth7104_0-552	141	353	160	328	213	NoDegenerate
SET7329_1982	orth7068_732-986	12	223	37	204	212	NoDegenerate
SET854_23923	orth2782_175-1267	40	209	65	190	170	NoDegenerate
SET10064_10932	orth8971_467-769	39	179	58	161	141	NoDegenerate
SET3028_160	orth4381_463-636	13	143	34	123	131	NoDegenerate
SET4683_267110	orth5493_1332-2207	430	559	457	540	130	NoDegenerate
SET8992_14310	orth8244_3849-4079	87	214	105	195	128	NoDegenerate
SET898_300538	orth2808_188-821	484	608	502	586	125	NoDegenerate
SET1466_4557	orth3482_1454-1729	37	251	55	229	215	NoDegenerate
SET1887_28881	orth3687_2115-2469	56	326	74	306	271	NoDegenerate
SET3336_705303	orth4572_393-1794	1001	1261	1023	1237	261	NoDegenerate
SET6448_56815	orth6575_395-796	84	319	107	291	236	NoDegenerate
SET10123_41001	orth9022_508-940	68	339	92	314	272	NoDegenerate
